job,firm,functional_area,type
"Director, Governance Advisory, Risk & Regulatory Financial Services",Alvarez & Marsal,"Risk, &, Compliance",Job
Bid Lead,PA Consulting,Unknown,Job
Senior Manager - Data Science,Capgemini Invent,"Data, Science",Job
Data Engineer,PA Consulting,"Data, Science",Job
Tax ICAEW/CTA Apprenticeship,Alvarez & Marsal,Finance,Job
AI Regulation & Governance Senior/Managing Consultant,Capgemini Invent,Unknown,Job
Managing Consultant - Architecture within Financial Services,PA Consulting,"IT, Architecture",Job
ERP Manager - Unit4 (Agresso),Alvarez & Marsal,ERP,Job
Senior Manager IoT Analytics,Capgemini Invent,"Data, Science",Job
Cyber Transformation,PA Consulting,"Cyber, Security",Job
GRC Analyst - Global Security Office,Alvarez & Marsal,"Cyber, Security",Job
"Director, Risk & Regulatory Due Diligence - Financial Services Advisory",Alvarez & Marsal,"Risk, &, Compliance",Job
Learning Experience Designer (6-months FTC),PA Consulting,"Human, Resources",Job
Consultant / Senior Consultant - Process Analytics & Automation,Capgemini Invent,"Lean, &, SixSigma, Data, Science",Job
Managing Consultant - Energy Transition in Design Engineering and Science,PA Consulting,Unknown,Job
Managing Consultant - Commercial Analytics,Capgemini Invent,"Data, Science",Job
(Senior) Director of Growth Strategy,Alvarez & Marsal,Strategy,Job
Senior Test Engineer,PA Consulting,Unknown,Job
Management Consultant - Energy Networks,Capgemini Invent,Management,Job
Senior Associate - Private Equity Performance Improvement,Alvarez & Marsal,"Performance, Management",Job
Systems Analyst - Unit4 ERP (Agresso),Alvarez & Marsal,ERP,Job
Test Software Engineer - Python,PA Consulting,Software,Job
Manager/Senior Manager - Capital/Asset Management,Capgemini Invent,Management,Job
"Associate Director, Debt Advisory",Alvarez & Marsal,Unknown,Job
Director - Oil and Gas (Energy Transition),Capgemini Invent,Unknown,Job
Pre-Sales Application Engineer - (Cross Domain),PA Consulting,Unknown,Job
Pre-Sales Application Engineer - (Cross Domain),PA Consulting,Unknown,Job
"Quantum Associate, Construction Disputes",Alvarez & Marsal,Unknown,Job
Senior Manager - Energy & Utilities - Energy Retail Leader,Capgemini Invent,Unknown,Job
Managing Consultant - Analytics & Artificial Intelligence - Data Science,Capgemini Invent,"Data, Science",Job
Pre-Sales Application Engineer - (Cross Domain),PA Consulting,Unknown,Job
Restructuring & Insolvency Sandwich Placement - London,Alvarez & Marsal,Restructuring,Job
Data Science Consultant,PA Consulting,"Data, Science",Job
"Senior Director, Governance Advisory",Alvarez & Marsal,Unknown,Job
Vice President - Water,Capgemini Invent,Unknown,Job
Vice President - Energy Networks,Capgemini Invent,Unknown,Job
Operational Resilience,PA Consulting,Unknown,Job
"Director, Smart & Connected",Alvarez & Marsal,Unknown,Job
Operational Technology,PA Consulting,"IT, Strategy",Job
Vice President - Aerospace and Defence Manufacturing,Capgemini Invent,Unknown,Job
"(Senior) Director, Digital & Customer Experience",Alvarez & Marsal,Digital,Job
Management Consultant - Energy & Utilities - Market Design & Policy,Capgemini Invent,Management,Job
"(Senior) Associate, Smart & Connected Digital Services",Alvarez & Marsal,Digital,Job
Data Privacy,PA Consulting,"Data, Science",Job
Consultant- Aerospace & Defence Manufacturing,Capgemini Invent,Unknown,Job
"(Senior) Director, Digital Strategy",Alvarez & Marsal,"Strategy, Digital",Job
Cloud Security Architect,PA Consulting,"Cyber, Security, Cloud",Job
Security Architect,PA Consulting,"Cyber, Security",Job
"Delay Director, Construction Disputes",Alvarez & Marsal,Unknown,Job
Managing Consultant- Aerospace & Defence Manufacturing,Capgemini Invent,Unknown,Job
Manager/Senior Manager - Energy & Utilities - Information Management,Capgemini Invent,"Management, IT, Strategy",Job
Senior Consultant - Water Sector,PA Consulting,Unknown,Job
"Senior Director - Insurance, Wealth and Asset Management",Alvarez & Marsal,Management,Job
Service Manager,PA Consulting,Unknown,Job
"Quantum Director, Construction Disputes",Alvarez & Marsal,Unknown,Job
Management Consultant - Energy & Utilities -  Asset Management,Capgemini Invent,"Management, Mergers, &, Acquisitions, Ecommerce, Mobile, &, Apps, Corporate, Governance, Lean, &, SixSigma",Job
Financial Accountant Lead,PA Consulting,Unknown,Job
"Associate Director, Valuations",Alvarez & Marsal,Unknown,Job
Consultant/ Senior Consultant- Digital Product Analytics,Capgemini Invent,"Digital, Data, Science",Job
Managing Consultant - Analytics & Insights,Capgemini Invent,"Data, Science",Job
Energy Networks Asset Management Senior/ Principal Consultant,PA Consulting,Management,Job
Benefits Manager,Alvarez & Marsal,"Human, Resources",Job
Management Consultant - Procurement & Supply Chain,Capgemini Invent,"Management, Procurement, Supply, Chain",Job
Experience Strategist,PA Consulting,Unknown,Job
"Director, Go-to-Market Programs",Alvarez & Marsal,Unknown,Job
Automation QA Engineer,PA Consulting,Unknown,Job
Marketing Campaign Manager,Alvarez & Marsal,Marketing,Job
Management Consultant - Engineering and Manufacturing Transformation,Capgemini Invent,Management,Job
"Senior Associate, Debt Advisory",Alvarez & Marsal,Unknown,Job
Senior Delivery Manager,PA Consulting,Unknown,Job
Senior Consultant Data & AI Strategy - Operating Model,Capgemini Invent,"Strategy, Data, Science",Job
Digital Delivery Lead,PA Consulting,Digital,Job
"Director - Private Sector Aerospace, Defence and Discrete Manufacturing",Capgemini Invent,Unknown,Job
"Executive Assistant, Debt Advisory Team, 1-year Fixed Term Contract, London Hybrid",Alvarez & Marsal,Unknown,Job
Digital Factory Director,Capgemini Invent,Digital,Job
Support Engineer,PA Consulting,Unknown,Job
"Senior Associate, Capital Markets",Alvarez & Marsal,Unknown,Job
Senior Support Engineer,PA Consulting,Unknown,Job
"Technical Expert, Construction Disputes",Alvarez & Marsal,Unknown,Job
Vice President - Oil and Gas (Energy Transition),Capgemini Invent,Unknown,Job
Managing Consultant - Data & AI Strategy - Data Management,Capgemini Invent,"Strategy, Management, Data, Science",Job
"Associate/Senior Associate M&A and growth strategy, European Banking and Lending",Alvarez & Marsal,Unknown,Job
Network Consultant,PA Consulting,Unknown,Job
Senior Director - Customer and Digital Data & Analytics,Capgemini Invent,"Digital, Data, Science",Job
Network Consultant,PA Consulting,Unknown,Job
"Senior Director - Asset Management & Alternatives, EMEA",Alvarez & Marsal,Management,Job
Senior Manager- HR Solution Architect (SAP SuccessFactors),Capgemini Invent,"Human, Resources",Job
Technical Lead,PA Consulting,Unknown,Job
Financial and Operational Programme Management,Alvarez & Marsal,Management,Job
Consultant/Senior Consultant- Intelligent Process & Performance - Process Transformation,Capgemini Invent,"Lean, &, SixSigma, Performance, Management",Job
EMEA Senior Counsel - Partnership Office,Alvarez & Marsal,Unknown,Job
Technical Lead,PA Consulting,Unknown,Job
Technical IP Specialist,PA Consulting,Unknown,Job
Workplace AI Consultant/ Senior Consultant,Capgemini Invent,Unknown,Job
Project Revenue Assistant,Alvarez & Marsal,Unknown,Job
"Delay Associate, Construction Disputes",Alvarez & Marsal,Unknown,Job
Operational Technology Consultant,PA Consulting,"IT, Strategy",Job
Director - Consumer Products,Capgemini Invent,Unknown,Job
Management Consultant - Digital Engineering - Asset Management,Capgemini Invent,"Management, Digital",Job
Experience Strategist,PA Consulting,Unknown,Job
Managing Consultant E&U - Economics and Investment Strategy,PA Consulting,Strategy,Job
Director - Public Sector Defence,Capgemini Invent,Unknown,Job
Senior Consultant - Analytics & Artificial Intelligence - Data Science,Capgemini Invent,"Data, Science",Job
Principal DevOps Engineer,PA Consulting,Software,Job
Software Engineer - C++/Rust/Python,PA Consulting,Software,Job
Management Consultant - CIB (Corporate & Investment Banking),Capgemini Invent,Management,Job
Management Consultant - Intelligent Process & Performance - Process Mining,Capgemini Invent,"Management, Lean, &, SixSigma, Performance, Management",Job
Managing Consultant - Financial Services - Insurance (non-Life),PA Consulting,Unknown,Job
Senior Consultant - Data & AI Strategy - Data Management,Capgemini Invent,"Strategy, Management, Data, Science",Job
Lead UX/UI Designer,PA Consulting,Unknown,Job
Management Consultant - Connected Products & Services,Capgemini Invent,Management,Job
Data Privacy Specialist,PA Consulting,"Data, Science",Job
Solution Architect,PA Consulting,Unknown,Job
Managing Consultant - Data & AI Strategy - Data Strategy,Capgemini Invent,"Strategy, Data, Science",Job
Technical Lead,PA Consulting,Unknown,Job
Director - Life Sciences,Capgemini Invent,Unknown,Job
Employee Experience & HR Transformation Consultant,Capgemini Invent,"Human, Resources",Job
Electronics Engineer - (Embedded),PA Consulting,Unknown,Job
Client Account Partner - Banking,Capgemini Invent,Unknown,Job
Senior Systems Lead,PA Consulting,Unknown,Job
Managing Consultant/Senior Manager - Cost & Performance Management,Capgemini Invent,"Management, Performance, Management",Job
Managing Consultant - HLS - Digital Trust and Cyber Security,PA Consulting,"Digital, Cyber, Security",Job
Backend (Java) Engineer,PA Consulting,Unknown,Job
Managing Consultant - Agile Transformation - Digital Acceleration,Capgemini Invent,Digital,Job
Senior Consultant - Data & AI Strategy - Data Strategy,Capgemini Invent,"Strategy, Data, Science",Job
GCP-Cloud Architect,PA Consulting,Unknown,Job
Cloud Security Architect,PA Consulting,"Cyber, Security, Cloud",Job
Management Consultant - Manufacturing Systems Engineering,Capgemini Invent,Management,Job
Hardware Architect,PA Consulting,Unknown,Job
Management Consultant - Product Lifecycle Management (PLM) Strategy and Transformation,Capgemini Invent,"Strategy, Management",Job
Senior Full Stack Software Engineer,PA Consulting,Software,Job
"Agile Delivery, Scrum and Coaching - Consultant/Senior Consultant - Digital Factory",Capgemini Invent,Digital,Job
Hardware Architect,PA Consulting,Unknown,Job
"Vice President - Large Deals, Energy Transition and Utilities",Capgemini Invent,Unknown,Job
Senior Front End Developer,PA Consulting,Software,Job
Senior Manager - Data & AI Strategy - Data & AI Operating Model,Capgemini Invent,"Strategy, Data, Science",Job
Front End Engineer,PA Consulting,Software,Job
Payroll Transformation Managing Consultant/Sr. Manager,Capgemini Invent,Unknown,Job
Management Consultant - Defence,Capgemini Invent,Management,Job
Digital Delivery Lead,PA Consulting,Digital,Job
